;case:concept:name;time:timestamp;concept:name;customers;nn1;nn2;products;age;bankaccount;cost;price;producer;weight;EID
15;990001;2019-06-07 14:04:28;package delivered;Marco Pegoraro;;660049.0;;50.0;91248.0;;12164.96;;11.283;1022.0
16;990001;2019-06-20 14:58:13;pick item;Marco Pegoraro;880004.0;;Echo Studio;50.0;91248.0;340.0;199.99;A;1.48;1774.0
17;990001;2019-06-25 11:30:01;create package;Marco Pegoraro;;660109.0;;50.0;91248.0;;299.98;;2.26;2006.0
18;990001;2019-06-25 11:55:45;send package;Marco Pegoraro;;660109.0;;50.0;91248.0;;299.98;;2.26;2008.0
19;990001;2019-06-26 09:18:52;package delivered;Marco Pegoraro;;660109.0;;50.0;91248.0;;299.98;;2.26;2084.0
20;990002;2019-05-20 10:35:21;place order;Gyunam Park;;;;55.0;27275.0;;3255.99;;2.656;2.0
21;990002;2019-05-20 10:38:17;pick item;Gyunam Park;880006.0;;Kindle;55.0;27275.0;255.0;79.99;A;0.483;3.0
22;990002;2019-05-20 17:08:25;pick item;Gyunam Park;880008.0;;MacBook Air;55.0;27275.0;436.0;2200.0;A;1.25;13.0
23;990002;2019-05-20 18:15:00;pick item;Gyunam Park;880007.0;;iPad Air;55.0;27275.0;472.0;476.0;B;0.44;16.0
24;990002;2019-05-21 12:19:16;confirm order;Gyunam Park;;;;55.0;27275.0;;3255.99;;2.656;32.0
25;990002;2019-05-21 12:35:03;pick item;Gyunam Park;880005.0;;iPad;55.0;27275.0;369.0;495.0;C;0.483;33.0
26;990002;2019-05-22 14:47:40;pay order;Gyunam Park;;;;55.0;27275.0;;3255.99;;2.656;91.0
27;990002;2019-05-23 11:00:25;create package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;121.0
28;990002;2019-05-23 14:22:59;send package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;140.0
29;990002;2019-05-23 14:48:41;failed delivery;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;142.0
30;990002;2019-05-23 19:14:00;package delivered;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;164.0
31;990003;2019-05-20 12:30:30;place order;Majid Rafiei;;;;46.0;74370.0;;2468.99;;0.994;6.0
32;990003;2019-05-20 12:34:16;confirm order;Majid Rafiei;;;;46.0;74370.0;;2468.99;;0.994;7.0
33;990003;2019-05-20 15:19:49;item out of stock;Majid Rafiei;880009.0;;iPad Air;46.0;74370.0;472.0;476.0;B;0.44;10.0
34;990003;2019-05-20 17:51:15;pick item;Majid Rafiei;880011.0;;Fire Stick;46.0;74370.0;460.0;39.99;A;0.2;15.0
35;990003;2019-05-21 09:43:01;pick item;Majid Rafiei;880010.0;;iPhone 11;46.0;74370.0;115.0;799.0;B;0.166;24.0
36;990003;2019-05-21 10:41:07;pay order;Majid Rafiei;;;;46.0;74370.0;;2468.99;;0.994;28.0
37;990003;2019-05-21 14:58:29;pick item;Majid Rafiei;880012.0;;iPhone 11 Pro;46.0;74370.0;112.0;1149.0;C;0.188;45.0
38;990003;2019-05-22 16:52:23;reorder item;Majid Rafiei;880009.0;;iPad Air;46.0;74370.0;472.0;476.0;B;0.44;98.0
39;990003;2019-05-24 15:49:44;create package;Majid Rafiei;;660004.0;;46.0;74370.0;;4659.96;;4.755;204.0
40;990003;2019-05-24 17:26:40;pick item;Majid Rafiei;880009.0;;iPad Air;46.0;74370.0;472.0;476.0;B;0.44;216.0
41;990003;2019-05-27 09:50:01;send package;Majid Rafiei;;660004.0;;46.0;74370.0;;4659.96;;4.755;238.0
42;990003;2019-05-27 12:39:25;package delivered;Majid Rafiei;;660004.0;;46.0;74370.0;;4659.96;;4.755;259.0
43;990003;2019-05-29 16:14:37;create package;Majid Rafiei;;660017.0;;46.0;74370.0;;1174.98;;1.413;434.0
44;990003;2019-05-30 10:19:45;send package;Majid Rafiei;;660017.0;;46.0;74370.0;;1174.98;;1.413;476.0
45;990003;2019-05-31 11:00:07;package delivered;Majid Rafiei;;660017.0;;46.0;74370.0;;1174.98;;1.413;562.0
46;990004;2019-05-20 14:20:47;place order;Junxiong Gao;;;;52.0;96270.0;;334.98;;2.46;9.0
47;990004;2019-05-20 16:56:02;pick item;Junxiong Gao;880014.0;;Echo Show 8;52.0;96270.0;173.0;129.99;B;0.98;12.0
48;990004;2019-05-20 18:36:37;confirm order;Junxiong Gao;;;;52.0;96270.0;;334.98;;2.46;17.0
49;990004;2019-05-21 12:39:01;pick item;Junxiong Gao;880013.0;;Echo Studio;52.0;96270.0;340.0;199.99;A;1.48;34.0
50;990004;2019-05-24 10:49:32;create package;Junxiong Gao;;660003.0;;52.0;96270.0;;3148.95;;7.401;178.0
51;990004;2019-05-27 10:40:13;send package;Junxiong Gao;;660003.0;;52.0;96270.0;;3148.95;;7.401;246.0
52;990004;2019-05-27 14:56:21;failed delivery;Junxiong Gao;;660003.0;;52.0;96270.0;;3148.95;;7.401;269.0
53;990004;2019-05-28 12:42:06;package delivered;Junxiong Gao;;660003.0;;52.0;96270.0;;3148.95;;7.401;324.0
54;990004;2019-06-09 18:36:37;payment reminder;Junxiong Gao;;;;52.0;96270.0;;334.98;;2.46;1064.0
55;990004;2019-06-13 10:57:55;pay order;Junxiong Gao;;;;52.0;96270.0;;334.98;;2.46;1305.0
56;990005;2019-05-20 16:01:22;place order;Seran Uysal;;;;40.0;69940.0;;1580.0;;0.923;11.0
57;990005;2019-05-21 10:34:23;confirm order;Seran Uysal;;;;40.0;69940.0;;1580.0;;0.923;27.0
58;990005;2019-05-22 11:18:26;pick item;Seran Uysal;880015.0;;iPad Pro;40.0;69940.0;308.0;1099.0;B;0.483;77.0
59;990005;2019-05-22 15:24:59;pick item;Seran Uysal;880016.0;;iPad Air;40.0;69940.0;472.0;476.0;B;0.44;92.0
60;990005;2019-05-28 09:49:33;create package;Seran Uysal;;660009.0;;40.0;69940.0;;6770.0;;4.026;302.0
61;990005;2019-05-28 16:20:29;send package;Seran Uysal;;660009.0;;40.0;69940.0;;6770.0;;4.026;349.0
62;990005;2019-05-29 12:01:39;package delivered;Seran Uysal;;660009.0;;40.0;69940.0;;6770.0;;4.026;400.0
63;990005;2019-06-10 10:34:23;payment reminder;Seran Uysal;;;;40.0;69940.0;;1580.0;;0.923;1085.0
64;990005;2019-06-30 10:34:23;payment reminder;Seran Uysal;;;;40.0;69940.0;;1580.0;;0.923;2358.0
65;990005;2019-07-03 17:07:23;pay order;Seran Uysal;;;;40.0;69940.0;;1580.0;;0.923;2571.0
66;990006;2019-05-20 17:22:31;place order;Christina Rensinghof;;;;41.0;17020.0;;923.98;;1.432;14.0
67;990006;2019-05-21 08:55:41;pick item;Christina Rensinghof;880019.0;;iPhone X;41.0;17020.0;302.0;699.0;B;0.172;22.0
68;990006;2019-05-21 12:15:15;pick item;Christina Rensinghof;880017.0;;Echo Show 8;41.0;17020.0;173.0;129.99;B;0.98;30.0
69;990006;2019-05-21 14:55:05;confirm order;Christina Rensinghof;;;;41.0;17020.0;;923.98;;1.432;43.0
70;990006;2019-05-22 10:17:48;pick item;Christina Rensinghof;880018.0;;Fire Stick 4K;41.0;17020.0;146.0;89.99;A;0.28;67.0
71;990006;2019-05-25 01:00:00;create package;Christina Rensinghof;;660005.0;;41.0;17020.0;;1982.97;;2.325;227.0
72;990006;2019-05-27 20:29:32;send package;Christina Rensinghof;;660005.0;;41.0;17020.0;;1982.97;;2.325;291.0
73;990006;2019-05-29 09:50:36;package delivered;Christina Rensinghof;;660005.0;;41.0;17020.0;;1982.97;;2.325;378.0
74;990006;2019-05-31 21:05:52;pay order;Christina Rensinghof;;;;41.0;17020.0;;923.98;;1.432;614.0
75;990007;2019-05-20 19:04:49;place order;Junxiong Gao;;;;52.0;96270.0;;293.98;;1.855;18.0
76;990007;2019-05-21 10:49:44;pick item;Junxiong Gao;880022.0;;Kindle Paperwhite;52.0;96270.0;271.0;129.0;B;0.495;29.0
77;990007;2019-05-21 14:33:48;confirm order;Junxiong Gao;;;;52.0;96270.0;;293.98;;1.855;42.0
78;990007;2019-05-21 17:02:33;pick item;Junxiong Gao;880020.0;;Echo Show 8;52.0;96270.0;173.0;129.99;B;0.98;53.0
79;990007;2019-05-24 10:49:32;create package;Junxiong Gao;;660003.0;;52.0;96270.0;;3148.95;;7.401;178.0
80;990007;2019-05-27 09:53:59;pick item;Junxiong Gao;880021.0;;Echo Dot;52.0;96270.0;369.0;29.99;B;0.38;239.0
81;990007;2019-05-27 10:40:13;send package;Junxiong Gao;;660003.0;;52.0;96270.0;;3148.95;;7.401;246.0
82;990007;2019-05-27 14:56:21;failed delivery;Junxiong Gao;;660003.0;;52.0;96270.0;;3148.95;;7.401;269.0
83;990007;2019-05-28 12:42:06;package delivered;Junxiong Gao;;660003.0;;52.0;96270.0;;3148.95;;7.401;324.0
84;990007;2019-05-29 15:38:06;create package;Junxiong Gao;;660016.0;;52.0;96270.0;;1387.98;;1.136;422.0
85;990007;2019-05-30 10:10:22;send package;Junxiong Gao;;660016.0;;52.0;96270.0;;1387.98;;1.136;473.0
86;990007;2019-05-30 12:02:46;package delivered;Junxiong Gao;;660016.0;;52.0;96270.0;;1387.98;;1.136;486.0
87;990007;2019-06-10 14:33:48;payment reminder;Junxiong Gao;;;;52.0;96270.0;;293.98;;1.855;1108.0
88;990007;2019-06-14 09:57:38;pay order;Junxiong Gao;;;;52.0;96270.0;;293.98;;1.855;1371.0
89;990008;2019-05-20 21:49:13;place order;Majid Rafiei;;;;46.0;74370.0;;1428.97;;3.755;19.0
90;990008;2019-05-21 13:42:40;pick item;Majid Rafiei;880024.0;;Kindle Paperwhite;46.0;74370.0;271.0;129.0;B;0.495;39.0
91;990008;2019-05-21 14:56:24;pick item;Majid Rafiei;880025.0;;Echo Plus;46.0;74370.0;122.0;149.99;B;1.28;44.0
92;990008;2019-05-21 15:02:54;pick item;Majid Rafiei;880026.0;;Echo Show 8;46.0;74370.0;173.0;129.99;B;0.98;46.0
93;990008;2019-05-21 15:26:17;pick item;Majid Rafiei;880028.0;;iPad mini;46.0;74370.0;131.0;449.0;C;0.28;47.0
94;990008;2019-05-21 15:51:03;item out of stock;Majid Rafiei;880027.0;;Fire Stick 4K;46.0;74370.0;146.0;89.99;A;0.28;49.0
95;990008;2019-05-21 16:51:49;reorder item;Majid Rafiei;880027.0;;Fire Stick 4K;46.0;74370.0;146.0;89.99;A;0.28;52.0
96;990008;2019-05-22 10:34:00;confirm order;Majid Rafiei;;;;46.0;74370.0;;1428.97;;3.755;71.0
97;990008;2019-05-22 13:31:24;pay order;Majid Rafiei;;;;46.0;74370.0;;1428.97;;3.755;85.0
98;990008;2019-05-22 17:13:56;pick item;Majid Rafiei;880023.0;;iPad Air;46.0;74370.0;472.0;476.0;B;0.44;100.0
99;990008;2019-05-24 15:49:44;create package;Majid Rafiei;;660004.0;;46.0;74370.0;;4659.96;;4.755;204.0
100;990008;2019-05-27 09:50:01;send package;Majid Rafiei;;660004.0;;46.0;74370.0;;4659.96;;4.755;238.0
101;990008;2019-05-27 10:33:28;pick item;Majid Rafiei;880027.0;;Fire Stick 4K;46.0;74370.0;146.0;89.99;A;0.28;245.0
102;990008;2019-05-27 12:39:25;package delivered;Majid Rafiei;;660004.0;;46.0;74370.0;;4659.96;;4.755;259.0
103;990008;2019-05-29 16:14:37;create package;Majid Rafiei;;660017.0;;46.0;74370.0;;1174.98;;1.413;434.0
104;990008;2019-05-30 10:19:45;send package;Majid Rafiei;;660017.0;;46.0;74370.0;;1174.98;;1.413;476.0
105;990008;2019-05-31 11:00:07;package delivered;Majid Rafiei;;660017.0;;46.0;74370.0;;1174.98;;1.413;562.0
106;990009;2019-05-21 07:13:12;place order;Gyunam Park;;;;55.0;27275.0;;1370.98;;3.013;20.0
107;990009;2019-05-21 08:23:42;pick item;Gyunam Park;880030.0;;Kindle;55.0;27275.0;255.0;79.99;A;0.483;21.0
108;990009;2019-05-21 09:14:32;item out of stock;Gyunam Park;880029.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;23.0
109;990009;2019-05-21 13:40:12;confirm order;Gyunam Park;;;;55.0;27275.0;;1370.98;;3.013;38.0
110;990009;2019-05-21 14:14:14;pick item;Gyunam Park;880031.0;;iPad mini;55.0;27275.0;131.0;449.0;C;0.28;41.0
111;990009;2019-05-21 15:32:29;pick item;Gyunam Park;880032.0;;iPad mini;55.0;27275.0;131.0;449.0;C;0.28;48.0
112;990009;2019-05-22 09:49:11;pick item;Gyunam Park;880033.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;66.0
113;990009;2019-05-23 11:00:25;create package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;121.0
114;990009;2019-05-23 14:22:59;send package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;140.0
115;990009;2019-05-23 14:48:41;failed delivery;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;142.0
116;990009;2019-05-23 16:07:14;pick item;Gyunam Park;880034.0;;Echo Show 8;55.0;27275.0;173.0;129.99;B;0.98;150.0
117;990009;2019-05-23 18:54:48;reorder item;Gyunam Park;880029.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;163.0
118;990009;2019-05-23 19:14:00;package delivered;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;164.0
119;990009;2019-05-28 17:21:54;create package;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;360.0
120;990009;2019-05-29 14:30:00;send package;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;416.0
121;990009;2019-05-29 16:14:22;package delivered;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;430.0
122;990009;2019-05-30 19:28:01;pick item;Gyunam Park;880029.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;542.0
123;990009;2019-05-31 19:05:24;create package;Gyunam Park;;660027.0;;55.0;27275.0;;3473.96;;4.891;608.0
124;990009;2019-06-03 14:07:59;send package;Gyunam Park;;660027.0;;55.0;27275.0;;3473.96;;4.891;652.0
125;990009;2019-06-04 10:32:16;package delivered;Gyunam Park;;660027.0;;55.0;27275.0;;3473.96;;4.891;717.0
126;990009;2019-06-05 12:51:54;pay order;Gyunam Park;;;;55.0;27275.0;;1370.98;;3.013;835.0
127;990010;2019-05-21 09:58:19;place order;Wil van der Aalst;;;;34.0;48846.0;;213.99;;0.978;25.0
128;990010;2019-05-21 12:47:10;pick item;Wil van der Aalst;880036.0;;Kindle;34.0;48846.0;255.0;79.99;A;0.483;35.0
129;990010;2019-05-21 12:57:36;item out of stock;Wil van der Aalst;880035.0;;Kindle Paperwhite;34.0;48846.0;271.0;129.0;B;0.495;37.0
130;990010;2019-05-21 21:10:10;confirm order;Wil van der Aalst;;;;34.0;48846.0;;213.99;;0.978;59.0
131;990010;2019-05-22 17:33:36;reorder item;Wil van der Aalst;880035.0;;Kindle Paperwhite;34.0;48846.0;271.0;129.0;B;0.495;102.0
132;990010;2019-05-27 11:49:13;create package;Wil van der Aalst;;660006.0;;34.0;48846.0;;3784.96;;4.785;254.0
133;990010;2019-05-28 12:29:53;send package;Wil van der Aalst;;660006.0;;34.0;48846.0;;3784.96;;4.785;323.0
134;990010;2019-05-28 15:50:34;package delivered;Wil van der Aalst;;660006.0;;34.0;48846.0;;3784.96;;4.785;342.0
135;990010;2019-05-30 12:41:03;pick item;Wil van der Aalst;880035.0;;Kindle Paperwhite;34.0;48846.0;271.0;129.0;B;0.495;490.0
136;990010;2019-05-30 17:36:37;create package;Wil van der Aalst;;660022.0;;34.0;48846.0;;3153.98;;4.54;536.0
137;990010;2019-06-03 11:23:31;send package;Wil van der Aalst;;660022.0;;34.0;48846.0;;3153.98;;4.54;641.0
138;990010;2019-06-03 16:37:21;package delivered;Wil van der Aalst;;660022.0;;34.0;48846.0;;3153.98;;4.54;677.0
139;990010;2019-06-10 21:10:10;payment reminder;Wil van der Aalst;;;;34.0;48846.0;;213.99;;0.978;1138.0
140;990010;2019-06-14 08:33:46;pay order;Wil van der Aalst;;;;34.0;48846.0;;213.99;;0.978;1362.0
141;990011;2019-05-21 12:16:25;place order;Gyunam Park;;;;55.0;27275.0;;1472.98;;1.942;31.0
142;990011;2019-05-21 12:55:17;confirm order;Gyunam Park;;;;55.0;27275.0;;1472.98;;1.942;36.0
143;990011;2019-05-22 14:18:39;pick item;Gyunam Park;880038.0;;iPhone X;55.0;27275.0;302.0;699.0;B;0.172;88.0
144;990011;2019-05-23 10:45:43;pick item;Gyunam Park;880040.0;;iPhone 8;55.0;27275.0;340.0;529.0;A;0.21;117.0
145;990011;2019-05-23 11:00:25;create package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;121.0
146;990011;2019-05-23 13:39:57;pick item;Gyunam Park;880039.0;;Fire Stick 4K;55.0;27275.0;146.0;89.99;A;0.28;138.0
147;990011;2019-05-23 14:22:59;send package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;140.0
148;990011;2019-05-23 14:24:31;pay order;Gyunam Park;;;;55.0;27275.0;;1472.98;;1.942;141.0
149;990011;2019-05-23 14:48:41;failed delivery;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;142.0
150;990011;2019-05-23 19:14:00;package delivered;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;164.0
151;990011;2019-05-28 16:41:43;pick item;Gyunam Park;880037.0;;Echo Plus;55.0;27275.0;122.0;149.99;B;1.28;351.0
152;990011;2019-05-28 17:21:54;create package;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;360.0
153;990011;2019-05-29 14:30:00;send package;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;416.0
154;990011;2019-05-29 16:14:22;package delivered;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;430.0
155;990012;2019-05-21 13:52:38;place order;Gyunam Park;;;;55.0;27275.0;;2761.99;;3.237;40.0
156;990012;2019-05-21 16:44:36;confirm order;Gyunam Park;;;;55.0;27275.0;;2761.99;;3.237;51.0
157;990012;2019-05-21 19:19:13;item out of stock;Gyunam Park;880046.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;56.0
158;990012;2019-05-22 11:00:23;pick item;Gyunam Park;880043.0;;iPad Air;55.0;27275.0;472.0;476.0;B;0.44;73.0
159;990012;2019-05-22 11:36:46;pick item;Gyunam Park;880047.0;;iPhone X;55.0;27275.0;302.0;699.0;B;0.172;79.0
160;990012;2019-05-22 11:47:12;pick item;Gyunam Park;880041.0;;Echo Show 8;55.0;27275.0;173.0;129.99;B;0.98;82.0
161;990012;2019-05-23 10:19:26;item out of stock;Gyunam Park;880045.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;113.0
162;990012;2019-05-23 10:27:00;reorder item;Gyunam Park;880046.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;114.0
163;990012;2019-05-23 11:00:25;create package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;121.0
164;990012;2019-05-23 14:22:59;send package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;140.0
165;990012;2019-05-23 14:48:41;failed delivery;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;142.0
166;990012;2019-05-23 17:26:26;pick item;Gyunam Park;880042.0;;iPad;55.0;27275.0;369.0;495.0;C;0.483;159.0
167;990012;2019-05-23 19:14:00;package delivered;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;164.0
168;990012;2019-05-27 09:35:00;reorder item;Gyunam Park;880045.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;235.0
169;990012;2019-05-28 12:19:52;pick item;Gyunam Park;880044.0;;iPhone X;55.0;27275.0;302.0;699.0;B;0.172;321.0
170;990012;2019-05-28 17:21:54;pick item;Gyunam Park;880046.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;359.0
171;990012;2019-05-28 17:21:54;create package;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;360.0
172;990012;2019-05-29 14:30:00;send package;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;416.0
173;990012;2019-05-29 16:14:22;package delivered;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;430.0
174;990012;2019-06-03 19:30:05;pick item;Gyunam Park;880045.0;;Kindle Paperwhite;55.0;27275.0;271.0;129.0;B;0.495;691.0
175;990012;2019-06-05 09:43:33;create package;Gyunam Park;;660039.0;;55.0;27275.0;;1027.97;;2.227;800.0
176;990012;2019-06-05 15:08:57;send package;Gyunam Park;;660039.0;;55.0;27275.0;;1027.97;;2.227;850.0
177;990012;2019-06-05 16:25:21;failed delivery;Gyunam Park;;660039.0;;55.0;27275.0;;1027.97;;2.227;868.0
178;990012;2019-06-05 21:36:36;package delivered;Gyunam Park;;660039.0;;55.0;27275.0;;1027.97;;2.227;888.0
179;990012;2019-06-06 17:01:11;pay order;Gyunam Park;;;;55.0;27275.0;;2761.99;;3.237;963.0
180;990013;2019-05-21 16:05:03;place order;Gyunam Park;;;;55.0;27275.0;;3127.97;;3.194;50.0
181;990013;2019-05-21 17:15:32;pick item;Gyunam Park;880049.0;;iPad Pro;55.0;27275.0;308.0;1099.0;B;0.483;54.0
182;990013;2019-05-21 21:40:22;confirm order;Gyunam Park;;;;55.0;27275.0;;3127.97;;3.194;60.0
183;990013;2019-05-22 09:29:44;item out of stock;Gyunam Park;880050.0;;iPhone 11 Pro;55.0;27275.0;112.0;1149.0;C;0.188;63.0
184;990013;2019-05-22 09:31:49;item out of stock;Gyunam Park;880053.0;;Echo Studio;55.0;27275.0;340.0;199.99;A;1.48;64.0
185;990013;2019-05-22 09:37:12;pick item;Gyunam Park;880048.0;;Fire Stick 4K;55.0;27275.0;146.0;89.99;A;0.28;65.0
186;990013;2019-05-22 16:07:56;pick item;Gyunam Park;880051.0;;Fire Stick 4K;55.0;27275.0;146.0;89.99;A;0.28;96.0
187;990013;2019-05-23 11:00:25;create package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;121.0
188;990013;2019-05-23 12:09:19;reorder item;Gyunam Park;880050.0;;iPhone 11 Pro;55.0;27275.0;112.0;1149.0;C;0.188;130.0
189;990013;2019-05-23 14:22:59;send package;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;140.0
190;990013;2019-05-23 14:48:41;failed delivery;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;142.0
191;990013;2019-05-23 19:14:00;package delivered;Gyunam Park;;660001.0;;55.0;27275.0;;8169.95;;7.211;164.0
192;990013;2019-05-24 12:01:37;reorder item;Gyunam Park;880053.0;;Echo Studio;55.0;27275.0;340.0;199.99;A;1.48;184.0
193;990013;2019-05-27 14:01:57;pick item;Gyunam Park;880052.0;;iPad;55.0;27275.0;369.0;495.0;C;0.483;264.0
194;990013;2019-05-28 17:21:54;create package;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;360.0
195;990013;2019-05-29 11:06:49;pay order;Gyunam Park;;;;55.0;27275.0;;3127.97;;3.194;386.0
196;990013;2019-05-29 14:30:00;send package;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;416.0
197;990013;2019-05-29 16:14:22;package delivered;Gyunam Park;;660013.0;;55.0;27275.0;;4691.95;;6.3420000000000005;430.0
198;990013;2019-06-17 14:24:54;pick item;Gyunam Park;880050.0;;iPhone 11 Pro;55.0;27275.0;112.0;1149.0;C;0.188;1489.0
199;990013;2019-06-17 15:48:31;create package;Gyunam Park;;660080.0;;55.0;27275.0;;2707.96;;3.794;1503.0
200;990013;2019-06-18 13:41:56;send package;Gyunam Park;;660080.0;;55.0;27275.0;;2707.96;;3.794;1579.0
201;990013;2019-06-18 14:55:46;package delivered;Gyunam Park;;660080.0;;55.0;27275.0;;2707.96;;3.794;1590.0
202;990013;2019-06-28 17:45:57;pick item;Gyunam Park;880053.0;;Echo Studio;55.0;27275.0;340.0;199.99;A;1.48;2342.0
203;990013;2019-07-01 14:59:43;create package;Gyunam Park;;660134.0;;55.0;27275.0;;1984.97;;3.468;2397.0
204;990013;2019-07-02 09:22:35;send package;Gyunam Park;;660134.0;;55.0;27275.0;;1984.97;;3.468;2424.0
205;990013;2019-07-03 16:37:19;package delivered;Gyunam Park;;660134.0;;55.0;27275.0;;1984.97;;3.468;2563.0
206;990014;2019-05-21 17:29:53;place order;Christine Dobbert;;;;43.0;59702.0;;3239.97;;3.696;55.0
207;990014;2019-05-22 10:22:31;item out of stock;Christine Dobbert;880055.0;;Echo Dot;43.0;59702.0;369.0;29.99;B;0.38;69.0
208;990014;2019-05-22 10:52:34;pick item;Christine Dobbert;880058.0;;iPad;43.0;59702.0;369.0;495.0;C;0.483;72.0
209;990014;2019-05-22 11:13:31;pick item;Christine Dobbert;880054.0;;Echo Show 8;43.0;59702.0;173.0;129.99;B;0.98;75.0
210;990014;2019-05-22 14:29:53;reorder item;Christine Dobbert;880055.0;;Echo Dot;43.0;59702.0;369.0;29.99;B;0.38;89.0
211;990014;2019-05-22 17:38:56;pick item;Christine Dobbert;880057.0;;MacBook Pro;43.0;59702.0;208.0;2500.0;B;1.37;103.0
212;990014;2019-05-23 09:09:23;confirm order;Christine Dobbert;;;;43.0;59702.0;;3239.97;;3.696;109.0
