;case:concept:name;time:timestamp;concept:name;customers;age;bankaccount;price;weight;EID
66;660021;2019-05-30 15:56:05;create package;Luis Santos;48.0;37644.0;6033.97;5.6560000000000015;518.0
67;660021;2019-05-31 12:07:26;send package;Luis Santos;48.0;37644.0;6033.97;5.6560000000000015;568.0
68;660021;2019-05-31 12:59:10;package delivered;Luis Santos;48.0;37644.0;6033.97;5.6560000000000015;575.0
69;660022;2019-05-30 17:36:37;create package;Wil van der Aalst;34.0;48846.0;3153.98;4.54;536.0
70;660022;2019-06-03 11:23:31;send package;Wil van der Aalst;34.0;48846.0;3153.98;4.54;641.0
71;660022;2019-06-03 16:37:21;package delivered;Wil van der Aalst;34.0;48846.0;3153.98;4.54;677.0
72;660023;2019-05-30 20:10:16;create package;Mahsa Bafrani;58.0;35775.0;569.95;4.303;544.0
73;660023;2019-05-31 12:37:28;send package;Mahsa Bafrani;58.0;35775.0;569.95;4.303;573.0
74;660023;2019-06-03 09:14:37;package delivered;Mahsa Bafrani;58.0;35775.0;569.95;4.303;625.0
75;660024;2019-05-31 09:59:47;create package;Seran Uysal;40.0;69940.0;848.98;3.24;554.0
76;660024;2019-05-31 13:02:49;send package;Seran Uysal;40.0;69940.0;848.98;3.24;576.0
77;660024;2019-05-31 20:47:49;package delivered;Seran Uysal;40.0;69940.0;848.98;3.24;612.0
78;660025;2019-05-31 11:02:37;create package;Anahita Farhang Ghahfarokhi;58.0;42513.0;209.97;1.5630000000000002;564.0
79;660025;2019-05-31 13:32:02;send package;Anahita Farhang Ghahfarokhi;58.0;42513.0;209.97;1.5630000000000002;579.0
80;660025;2019-05-31 15:13:21;package delivered;Anahita Farhang Ghahfarokhi;58.0;42513.0;209.97;1.5630000000000002;586.0
81;660026;2019-05-31 12:36:18;create package;Kefang Ding;38.0;76896.0;5815.96;5.609;572.0
82;660026;2019-06-03 14:44:40;send package;Kefang Ding;38.0;76896.0;5815.96;5.609;655.0
83;660026;2019-06-04 12:49:08;package delivered;Kefang Ding;38.0;76896.0;5815.96;5.609;737.0
84;660027;2019-05-31 19:05:24;create package;Gyunam Park;55.0;27275.0;3473.96;4.891;608.0
85;660027;2019-06-03 14:07:59;send package;Gyunam Park;55.0;27275.0;3473.96;4.891;652.0
86;660027;2019-06-04 10:32:16;package delivered;Gyunam Park;55.0;27275.0;3473.96;4.891;717.0
87;660028;2019-06-03 10:42:52;create package;Lisa Mannel;51.0;44449.0;699.93;4.883;631.0
88;660028;2019-06-03 21:34:51;send package;Lisa Mannel;51.0;44449.0;699.93;4.883;697.0
89;660028;2019-06-05 09:57:32;package delivered;Lisa Mannel;51.0;44449.0;699.93;4.883;802.0
90;660029;2019-06-03 13:21:46;create package;Mahnaz Qafari;40.0;83924.0;4553.99;1.966;649.0
91;660029;2019-06-03 15:15:53;send package;Mahnaz Qafari;40.0;83924.0;4553.99;1.966;660.0
92;660029;2019-06-04 09:55:18;package delivered;Mahnaz Qafari;40.0;83924.0;4553.99;1.966;709.0
93;660030;2019-06-03 16:22:21;create package;Christine Dobbert;43.0;59702.0;398.97;2.638;672.0
94;660030;2019-06-04 11:28:14;send package;Christine Dobbert;43.0;59702.0;398.97;2.638;727.0
95;660030;2019-06-05 14:32:48;package delivered;Christine Dobbert;43.0;59702.0;398.97;2.638;845.0
96;660031;2019-06-03 18:10:26;create package;Mohammadreza Fani Sani;51.0;61801.0;3508.98;2.798;686.0
97;660031;2019-06-05 09:11:11;send package;Mohammadreza Fani Sani;51.0;61801.0;3508.98;2.798;791.0
98;660031;2019-06-05 13:53:34;failed delivery;Mohammadreza Fani Sani;51.0;61801.0;3508.98;2.798;842.0
99;660031;2019-06-05 15:58:13;package delivered;Mohammadreza Fani Sani;51.0;61801.0;3508.98;2.798;864.0
100;660032;2019-06-03 19:30:05;create package;Christina Rensinghof;41.0;17020.0;2078.97;4.098;692.0
101;660032;2019-06-04 11:31:54;send package;Christina Rensinghof;41.0;17020.0;2078.97;4.098;728.0
102;660032;2019-06-04 15:39:23;package delivered;Christina Rensinghof;41.0;17020.0;2078.97;4.098;756.0
103;660033;2019-06-04 01:00:00;create package;Tobias Brockhoff;30.0;69038.0;2536.98;2.8;700.0
104;660033;2019-06-04 11:15:46;send package;Tobias Brockhoff;30.0;69038.0;2536.98;2.8;725.0
105;660033;2019-06-05 09:41:01;package delivered;Tobias Brockhoff;30.0;69038.0;2536.98;2.8;798.0
106;660034;2019-06-04 10:21:54;create package;Claudia Graf;54.0;29653.0;7193.95;7.231;716.0
107;660034;2019-06-04 11:24:58;send package;Claudia Graf;54.0;29653.0;7193.95;7.231;726.0
108;660034;2019-06-04 15:56:37;package delivered;Claudia Graf;54.0;29653.0;7193.95;7.231;757.0
109;660035;2019-06-04 12:25:02;create package;Luis Santos;48.0;37644.0;1329.97;3.0980000000000003;734.0
110;660035;2019-06-04 15:18:56;send package;Luis Santos;48.0;37644.0;1329.97;3.0980000000000003;750.0
111;660035;2019-06-05 12:18:00;package delivered;Luis Santos;48.0;37644.0;1329.97;3.0980000000000003;827.0
112;660036;2019-06-04 15:15:34;create package;Marco Pegoraro;50.0;91248.0;748.97;0.97;749.0
113;660036;2019-06-04 18:00:57;send package;Marco Pegoraro;50.0;91248.0;748.97;0.97;774.0
114;660036;2019-06-05 15:51:44;package delivered;Marco Pegoraro;50.0;91248.0;748.97;0.97;862.0
115;660037;2019-06-04 16:01:06;create package;Junxiong Gao;52.0;96270.0;5910.97;5.721;760.0
116;660037;2019-06-04 16:54:41;send package;Junxiong Gao;52.0;96270.0;5910.97;5.721;768.0
117;660037;2019-06-05 18:15:29;package delivered;Junxiong Gao;52.0;96270.0;5910.97;5.721;882.0
118;660038;2019-06-04 19:51:21;create package;Wil van der Aalst;34.0;48846.0;3098.97;4.0;784.0
119;660038;2019-06-05 11:11:34;send package;Wil van der Aalst;34.0;48846.0;3098.97;4.0;817.0
120;660038;2019-06-05 13:23:11;package delivered;Wil van der Aalst;34.0;48846.0;3098.97;4.0;837.0
121;660039;2019-06-05 09:43:33;create package;Gyunam Park;55.0;27275.0;1027.97;2.227;800.0
122;660039;2019-06-05 15:08:57;send package;Gyunam Park;55.0;27275.0;1027.97;2.227;850.0
123;660039;2019-06-05 16:25:21;failed delivery;Gyunam Park;55.0;27275.0;1027.97;2.227;868.0
124;660039;2019-06-05 21:36:36;package delivered;Gyunam Park;55.0;27275.0;1027.97;2.227;888.0
125;660040;2019-06-05 10:43:20;create package;Majid Rafiei;46.0;74370.0;3808.98;3.3160000000000003;810.0
126;660040;2019-06-05 16:40:17;send package;Majid Rafiei;46.0;74370.0;3808.98;3.3160000000000003;875.0
127;660040;2019-06-06 17:28:01;package delivered;Majid Rafiei;46.0;74370.0;3808.98;3.3160000000000003;965.0
128;660041;2019-06-05 11:11:42;create package;Seran Uysal;40.0;69940.0;3531.95;4.734;819.0
129;660041;2019-06-05 19:31:37;send package;Seran Uysal;40.0;69940.0;3531.95;4.734;884.0
130;660041;2019-06-06 20:46:27;package delivered;Seran Uysal;40.0;69940.0;3531.95;4.734;971.0
131;660042;2019-06-05 13:57:20;create package;Kefang Ding;38.0;76896.0;2192.99;2.526;844.0
132;660042;2019-06-05 16:32:10;send package;Kefang Ding;38.0;76896.0;2192.99;2.526;873.0
133;660042;2019-06-05 16:43:25;package delivered;Kefang Ding;38.0;76896.0;2192.99;2.526;876.0
134;660043;2019-06-05 15:22:57;create package;Mahnaz Qafari;40.0;83924.0;4025.96;3.792;854.0
135;660043;2019-06-05 19:41:18;send package;Mahnaz Qafari;40.0;83924.0;4025.96;3.792;885.0
136;660043;2019-06-06 10:51:45;package delivered;Mahnaz Qafari;40.0;83924.0;4025.96;3.792;914.0
137;660044;2019-06-05 16:31:53;create package;Christine Dobbert;43.0;59702.0;249.96;2.42;872.0
138;660044;2019-06-06 12:40:22;send package;Christine Dobbert;43.0;59702.0;249.96;2.42;926.0
139;660044;2019-06-07 10:46:15;package delivered;Christine Dobbert;43.0;59702.0;249.96;2.42;995.0
140;660045;2019-06-06 08:37:01;create package;Christina Rensinghof;41.0;17020.0;1843.99;1.016;893.0
141;660045;2019-06-06 10:19:20;send package;Christina Rensinghof;41.0;17020.0;1843.99;1.016;905.0
142;660045;2019-06-06 14:24:19;failed delivery;Christina Rensinghof;41.0;17020.0;1843.99;1.016;936.0
143;660045;2019-06-07 16:10:36;package delivered;Christina Rensinghof;41.0;17020.0;1843.99;1.016;1032.0
144;660046;2019-06-06 10:21:38;create package;Mohammadreza Fani Sani;51.0;61801.0;4145.95;4.3180000000000005;907.0
145;660046;2019-06-06 10:56:40;send package;Mohammadreza Fani Sani;51.0;61801.0;4145.95;4.3180000000000005;915.0
146;660046;2019-06-06 15:45:51;package delivered;Mohammadreza Fani Sani;51.0;61801.0;4145.95;4.3180000000000005;951.0
147;660047;2019-06-06 14:08:08;create package;Lisa Mannel;51.0;44449.0;1956.99;2.668;934.0
148;660047;2019-06-06 14:51:30;send package;Lisa Mannel;51.0;44449.0;1956.99;2.668;945.0
149;660047;2019-06-06 16:31:50;package delivered;Lisa Mannel;51.0;44449.0;1956.99;2.668;958.0
150;660048;2019-06-06 14:37:28;create package;Tobias Brockhoff;30.0;69038.0;6917.97;7.3;941.0
151;660048;2019-06-07 09:23:31;send package;Tobias Brockhoff;30.0;69038.0;6917.97;7.3;978.0
152;660048;2019-06-07 12:36:38;failed delivery;Tobias Brockhoff;30.0;69038.0;6917.97;7.3;1013.0
153;660048;2019-06-10 09:47:58;package delivered;Tobias Brockhoff;30.0;69038.0;6917.97;7.3;1076.0
154;660049;2019-06-06 16:20:03;create package;Marco Pegoraro;50.0;91248.0;12164.96;11.283;957.0
155;660049;2019-06-07 10:00:10;send package;Marco Pegoraro;50.0;91248.0;12164.96;11.283;988.0
156;660049;2019-06-07 14:04:28;package delivered;Marco Pegoraro;50.0;91248.0;12164.96;11.283;1022.0
157;660050;2019-06-07 10:54:38;create package;Luis Santos;48.0;37644.0;1587.99;0.618;999.0
158;660050;2019-06-07 16:59:06;send package;Luis Santos;48.0;37644.0;1587.99;0.618;1044.0
159;660050;2019-06-11 11:37:05;package delivered;Luis Santos;48.0;37644.0;1587.99;0.618;1164.0
160;660051;2019-06-07 11:36:06;create package;Mahsa Bafrani;58.0;35775.0;3535.98;2.556;1005.0
161;660051;2019-06-10 10:12:01;send package;Mahsa Bafrani;58.0;35775.0;3535.98;2.556;1080.0
162;660051;2019-06-10 10:36:42;package delivered;Mahsa Bafrani;58.0;35775.0;3535.98;2.556;1086.0
163;660052;2019-06-07 13:43:45;create package;Junxiong Gao;52.0;96270.0;1906.97;2.106;1019.0
164;660052;2019-06-10 16:57:21;send package;Junxiong Gao;52.0;96270.0;1906.97;2.106;1125.0
165;660052;2019-06-11 10:57:37;package delivered;Junxiong Gao;52.0;96270.0;1906.97;2.106;1154.0
166;660053;2019-06-07 16:35:21;create package;Gyunam Park;55.0;27275.0;2695.0;1.733;1037.0
167;660053;2019-06-10 10:48:29;send package;Gyunam Park;55.0;27275.0;2695.0;1.733;1087.0
168;660053;2019-06-11 11:11:03;package delivered;Gyunam Park;55.0;27275.0;2695.0;1.733;1157.0
169;660054;2019-06-07 16:49:07;create package;Anahita Farhang Ghahfarokhi;58.0;42513.0;4606.98;3.275;1042.0
170;660054;2019-06-07 19:16:45;send package;Anahita Farhang Ghahfarokhi;58.0;42513.0;4606.98;3.275;1053.0
171;660054;2019-06-11 09:48:47;package delivered;Anahita Farhang Ghahfarokhi;58.0;42513.0;4606.98;3.275;1145.0
172;660055;2019-06-07 21:54:37;create package;Wil van der Aalst;34.0;48846.0;529.0;0.21;1060.0
173;660055;2019-06-10 12:23:57;send package;Wil van der Aalst;34.0;48846.0;529.0;0.21;1095.0
174;660055;2019-06-11 10:59:30;package delivered;Wil van der Aalst;34.0;48846.0;529.0;0.21;1155.0
175;660056;2019-06-09 01:00:00;create package;Seran Uysal;40.0;69940.0;2521.96;3.669;1063.0
176;660056;2019-06-10 09:52:30;send package;Seran Uysal;40.0;69940.0;2521.96;3.669;1077.0
177;660056;2019-06-10 18:45:14;package delivered;Seran Uysal;40.0;69940.0;2521.96;3.669;1135.0
178;660057;2019-06-10 10:26:27;create package;Mahnaz Qafari;40.0;83924.0;4684.97;3.513;1083.0
179;660057;2019-06-10 17:11:29;send package;Mahnaz Qafari;40.0;83924.0;4684.97;3.513;1126.0
180;660057;2019-06-11 14:08:47;package delivered;Mahnaz Qafari;40.0;83924.0;4684.97;3.513;1173.0
181;660058;2019-06-10 13:38:05;create package;Christine Dobbert;43.0;59702.0;2926.97;5.305;1105.0
182;660058;2019-06-10 15:45:52;send package;Christine Dobbert;43.0;59702.0;2926.97;5.305;1119.0
183;660058;2019-06-10 18:23:07;package delivered;Christine Dobbert;43.0;59702.0;2926.97;5.305;1133.0
184;660059;2019-06-10 15:31:20;create package;Christina Rensinghof;41.0;17020.0;169.98;1.3630000000000002;1117.0
185;660059;2019-06-11 19:30:29;send package;Christina Rensinghof;41.0;17020.0;169.98;1.3630000000000002;1205.0
186;660059;2019-06-12 08:32:06;package delivered;Christina Rensinghof;41.0;17020.0;169.98;1.3630000000000002;1214.0
187;660060;2019-06-10 16:01:39;create package;Claudia Graf;54.0;29653.0;6530.91;9.215;1121.0
188;660060;2019-06-11 20:06:02;send package;Claudia Graf;54.0;29653.0;6530.91;9.215;1206.0
189;660060;2019-06-12 09:24:21;package delivered;Claudia Graf;54.0;29653.0;6530.91;9.215;1217.0
190;660061;2019-06-11 11:14:02;create package;Majid Rafiei;46.0;74370.0;1378.98;2.048;1160.0
191;660061;2019-06-12 10:08:01;send package;Majid Rafiei;46.0;74370.0;1378.98;2.048;1223.0
192;660061;2019-06-12 13:17:51;package delivered;Majid Rafiei;46.0;74370.0;1378.98;2.048;1253.0
193;660062;2019-06-11 11:57:25;create package;Tobias Brockhoff;30.0;69038.0;3785.94;6.617999999999999;1169.0
194;660062;2019-06-11 16:47:06;send package;Tobias Brockhoff;30.0;69038.0;3785.94;6.617999999999999;1195.0
195;660062;2019-06-12 16:19:07;package delivered;Tobias Brockhoff;30.0;69038.0;3785.94;6.617999999999999;1271.0
196;660063;2019-06-11 15:49:49;create package;Lisa Mannel;51.0;44449.0;159.98;1.36;1187.0
197;660063;2019-06-12 10:54:41;send package;Lisa Mannel;51.0;44449.0;159.98;1.36;1229.0
198;660063;2019-06-13 10:39:25;package delivered;Lisa Mannel;51.0;44449.0;159.98;1.36;1303.0
199;660064;2019-06-11 16:17:39;create package;Marco Pegoraro;50.0;91248.0;2577.97;2.511;1191.0
200;660064;2019-06-12 09:32:06;send package;Marco Pegoraro;50.0;91248.0;2577.97;2.511;1218.0
201;660064;2019-06-12 11:50:09;package delivered;Marco Pegoraro;50.0;91248.0;2577.97;2.511;1238.0
202;660065;2019-06-12 08:11:47;create package;Mahsa Bafrani;58.0;35775.0;1307.99;1.063;1212.0
203;660065;2019-06-12 08:24:07;send package;Mahsa Bafrani;58.0;35775.0;1307.99;1.063;1213.0
204;660065;2019-06-12 11:45:23;package delivered;Mahsa Bafrani;58.0;35775.0;1307.99;1.063;1237.0
205;660066;2019-06-12 09:46:21;create package;Luis Santos;48.0;37644.0;4862.95;6.2010000000000005;1222.0
206;660066;2019-06-12 12:33:15;send package;Luis Santos;48.0;37644.0;4862.95;6.2010000000000005;1248.0
207;660066;2019-06-13 11:59:50;package delivered;Luis Santos;48.0;37644.0;4862.95;6.2010000000000005;1310.0
208;660067;2019-06-12 12:23:12;create package;Gyunam Park;55.0;27275.0;258.99;1.475;1244.0
209;660067;2019-06-12 16:28:05;send package;Gyunam Park;55.0;27275.0;258.99;1.475;1274.0
210;660067;2019-06-12 17:28:23;package delivered;Gyunam Park;55.0;27275.0;258.99;1.475;1277.0
211;660068;2019-06-12 12:33:07;create package;Anahita Farhang Ghahfarokhi;58.0;42513.0;6611.96;6.141;1247.0
212;660068;2019-06-12 17:58:50;send package;Anahita Farhang Ghahfarokhi;58.0;42513.0;6611.96;6.141;1278.0
213;660068;2019-06-12 21:23:49;package delivered;Anahita Farhang Ghahfarokhi;58.0;42513.0;6611.96;6.141;1287.0
214;660069;2019-06-13 09:37:37;create package;Seran Uysal;40.0;69940.0;6593.96;5.187;1294.0
215;660069;2019-06-13 12:24:23;send package;Seran Uysal;40.0;69940.0;6593.96;5.187;1313.0
216;660069;2019-06-13 14:33:30;package delivered;Seran Uysal;40.0;69940.0;6593.96;5.187;1323.0
217;660070;2019-06-13 15:10:08;create package;Mohammadreza Fani Sani;51.0;61801.0;1474.99;2.086;1326.0
218;660070;2019-06-13 16:47:17;send package;Mohammadreza Fani Sani;51.0;61801.0;1474.99;2.086;1342.0
219;660070;2019-06-14 09:06:37;package delivered;Mohammadreza Fani Sani;51.0;61801.0;1474.99;2.086;1364.0
220;660071;2019-06-13 15:18:03;create package;Mahnaz Qafari;40.0;83924.0;1523.98;2.412;1331.0
221;660071;2019-06-14 09:49:34;send package;Mahnaz Qafari;40.0;83924.0;1523.98;2.412;1370.0
222;660071;2019-06-14 13:10:53;package delivered;Mahnaz Qafari;40.0;83924.0;1523.98;2.412;1393.0
223;660072;2019-06-13 16:42:29;create package;Junxiong Gao;52.0;96270.0;3676.91;6.292000000000002;1341.0
224;660072;2019-06-14 19:07:23;send package;Junxiong Gao;52.0;96270.0;3676.91;6.292000000000002;1432.0
225;660072;2019-06-17 09:31:48;package delivered;Junxiong Gao;52.0;96270.0;3676.91;6.292000000000002;1451.0
226;660073;2019-06-14 01:00:00;create package;Claudia Graf;54.0;29653.0;9677.98;6.421;1358.0
227;660073;2019-06-17 11:40:05;send package;Claudia Graf;54.0;29653.0;9677.98;6.421;1472.0
228;660073;2019-06-18 09:38:55;package delivered;Claudia Graf;54.0;29653.0;9677.98;6.421;1539.0
229;660074;2019-06-14 12:59:06;create package;Wil van der Aalst;34.0;48846.0;10905.95;8.627;1391.0
230;660074;2019-06-14 16:24:58;send package;Wil van der Aalst;34.0;48846.0;10905.95;8.627;1418.0
231;660074;2019-06-17 11:57:41;package delivered;Wil van der Aalst;34.0;48846.0;10905.95;8.627;1475.0
232;660075;2019-06-14 16:07:04;create package;Christine Dobbert;43.0;59702.0;5170.95;7.636;1414.0
233;660075;2019-06-17 15:04:50;send package;Christine Dobbert;43.0;59702.0;5170.95;7.636;1492.0
234;660075;2019-06-17 15:47:30;package delivered;Christine Dobbert;43.0;59702.0;5170.95;7.636;1500.0
235;660076;2019-06-14 18:52:04;create package;Lisa Mannel;51.0;44449.0;3288.98;3.176;1430.0
236;660076;2019-06-18 09:29:23;send package;Lisa Mannel;51.0;44449.0;3288.98;3.176;1537.0
237;660076;2019-06-18 15:32:24;package delivered;Lisa Mannel;51.0;44449.0;3288.98;3.176;1600.0
238;660077;2019-06-17 09:26:52;create package;Mahsa Bafrani;58.0;35775.0;8266.96;7.683;1450.0
239;660077;2019-06-17 15:19:21;send package;Mahsa Bafrani;58.0;35775.0;8266.96;7.683;1496.0
240;660077;2019-06-17 16:39:14;package delivered;Mahsa Bafrani;58.0;35775.0;8266.96;7.683;1508.0
241;660078;2019-06-17 11:10:38;create package;Marco Pegoraro;50.0;91248.0;449.0;0.28;1467.0
242;660078;2019-06-17 11:10:57;send package;Marco Pegoraro;50.0;91248.0;449.0;0.28;1470.0
243;660078;2019-06-17 14:18:32;failed delivery;Marco Pegoraro;50.0;91248.0;449.0;0.28;1488.0
244;660078;2019-06-18 11:27:21;failed delivery;Marco Pegoraro;50.0;91248.0;449.0;0.28;1557.0
245;660078;2019-06-18 15:56:11;failed delivery;Marco Pegoraro;50.0;91248.0;449.0;0.28;1612.0
246;660078;2019-06-19 10:07:05;failed delivery;Marco Pegoraro;50.0;91248.0;449.0;0.28;1656.0
247;660078;2019-06-19 15:54:48;package delivered;Marco Pegoraro;50.0;91248.0;449.0;0.28;1707.0
248;660079;2019-06-17 11:10:55;create package;Christina Rensinghof;41.0;17020.0;8424.98;6.506;1469.0
249;660079;2019-06-18 09:43:25;send package;Christina Rensinghof;41.0;17020.0;8424.98;6.506;1540.0
250;660079;2019-06-18 13:46:02;package delivered;Christina Rensinghof;41.0;17020.0;8424.98;6.506;1580.0
251;660080;2019-06-17 15:48:31;create package;Gyunam Park;55.0;27275.0;2707.96;3.794;1503.0
252;660080;2019-06-18 13:41:56;send package;Gyunam Park;55.0;27275.0;2707.96;3.794;1579.0
253;660080;2019-06-18 14:55:46;package delivered;Gyunam Park;55.0;27275.0;2707.96;3.794;1590.0
254;660081;2019-06-17 17:25:59;create package;Tobias Brockhoff;30.0;69038.0;6070.96;5.331;1518.0
